Node_type,ID,Description,Label,Reference_Count,First_Apperance,Last_Apperance,Confidence
EVENT,EVE_RUMOURS_OF_STRANGE_EVENTS,[N/A],Rumours of strange events,2,48,49,0.62
ORGANIZATION,ORG_IMPORTANT_FOLK,[N/A],important folk,6,176,62,0.61
ORGANIZATION,ORG_GARDENERS,[N/A],Gardeners,10,268,30,0.84
EVENT,EVE_MORNING_,[N/A],morning_,1,0,8,0.63
EVENT,EVE_MORNING,[N/A],Morning,9,312,48,0.76
EVENT,EVE_NIGHT,[N/A],Night,7,206,13,0.66
LOCATION,LOC_PAVILIONS,[N/A],pavilions,10,288,9,0.71
LOCATION,LOC_SUN,[N/A],sun,1,0,3,0.51
PERSON,PER_BOLGERS,[N/A],Bolgers,10,294,24,0.94
EVENT,EVE_MID-DAY,[N/A],mid-day,1,60,67,0.55
ORGANIZATION,ORG_BEST-FED,[N/A],best-fed,1,0,8,0.77
LOCATION,LOC_STEP,[N/A],step,6,45,126,0.75
LOCATION,LOC_INSIDE,[N/A],inside,6,201,53,0.52
PERSON,PER_ADELARD,[N/A],ADELARD,18,215,31,0.92
PERSON,PER_DORA_BAGGINS,[N/A],DORA BAGGINS,10,271,23,0.94
PERSON,PER_DORA,[N/A],Dora,8,284,32,0.76
PERSON,PER_MILO_BURROWS,[N/A],MILO BURROWS,10,265,12,0.56
PERSON,PER_B.B.,[N/A],B.B.,7,277,20,0.65
PERSON,PER_ANGELICA,[N/A],ANGELICA,10,262,8,0.87
PERSON,PER_HUGO_BRACEGIRDLE,[N/A],HUGO BRACEGIRDLE,10,272,19,0.92
PERSON,PER_MILO,[N/A],Milo,3,53,4,0.72
LOCATION,LOC_BOOK-CASE,[N/A],book-case,7,270,65,0.55
PERSON,PER_LOBELIA_SACKVILLE-BAGGINS,[N/A],LOBELIA SACKVILLE-BAGGINS,10,266,25,0.95
EVENT,EVE_PRESENT,[N/A],PRESENT,6,298,159,0.63
PERSON,PER_HUGO,[N/A],Hugo,2,39,4,0.93
EVENT,EVE_FORMER_JOURNEY,[N/A],former journey,3,240,54,0.52
LOCATION,LOC_POINT,[N/A],point,2,191,164,0.72
LOCATION,LOC_RESIDENCE,[N/A],residence,2,165,17,0.59
LOCATION,LOC_HOBBIT-HOLES,[N/A],hobbit-holes,10,239,15,0.81
EVENT,EVE_BIRTHDAY-PRESENTS,[N/A],birthday-presents,18,242,34,0.63
LOCATION,LOC_OLD_HOLE,[N/A],old hole,9,301,55,0.74
LOCATION,LOC_THE_OLD_HOLE,[N/A],The old hole,1,13,25,0.79
PERSON,PER_OLD_RORY,[N/A],Old Rory,1,275,283,0.78
PERSON,PER_OLD_RORY_BRANDYBUCK,[N/A],Old Rory Brandybuck,9,248,40,0.93
ORGANIZATION,ORG_OLD_WINYARDS,[N/A],Old Winyards,10,269,15,0.84
LOCATION,LOC_SOUTHFARTHING,[N/A],Southfarthing,10,273,31,0.87
PERSON,PER_RORY,[N/A],Rory,7,189,23,0.96
LOCATION,LOC_THE_PLACE,[N/A],the place,10,252,9,0.67
EVENT,EVE_QUARRELS,[N/A],quarrels,10,266,23,0.54
PERSON,PER_SOME_PEOPLE,[N/A],Some people,20,263,183,0.6
LOCATION,LOC_THE_HALL,[N/A],the hall,3,246,8,0.64
EVENT,EVE_WILDFIRE,[N/A],wildfire,1,0,8,0.62
EVENT,EVE_SWAPS_AND_DEALS,[N/A],swaps and deals,3,106,44,0.51
LOCATION,LOC_THE_ROAD_TO_THE_GATE,[N/A],The road to the gate,8,236,43,0.53
EVENT,EVE_COMMOTION,[N/A],commotion,10,263,27,0.61
PERSON,PER_MERRY_BRANDYBUCK,[N/A],Merry Brandybuck,20,281,34,0.87
PERSON,PER_MERRY,[N/A],Merry,32,281,5,0.51
LOCATION,LOC_STUDY,[N/A],study,20,241,12,0.82
EVENT,EVE_THE_WHOLE_AFFAIR,[N/A],the whole affair,1,109,125,0.53
EVENT,EVE_ADOPTION,[N/A],adoption,2,127,8,0.5
PERSON,PER_HE_ESCORTED_HER,[N/A],He escorted her,1,186,201,0.76
LOCATION,LOC_PREMISES,[N/A],premises,1,31,39,0.6
LOCATION,LOC_THE_PREMISES,[N/A],the premises,1,0,12,0.86
LOCATION,LOC_THE_STEP,[N/A],the step,1,270,278,0.54
PERSON,PER_YOUNG_FELLOW,[N/A],young fellow,6,255,129,0.7
LOCATION,LOC_HOLE,[N/A],hole,3,236,186,0.63
LOCATION,LOC_ONE_OF_THE_CELLARS,[N/A],one of the cellars,1,235,253,0.52
PERSON,PER_SANCHO_PROUDFOOT,[N/A],Sancho Proudfoot,3,252,16,0.77
PERSON,PER_ODO_PROUDFOOT,[N/A],Odo Proudfoot,10,274,35,0.84
PERSON,PER_YOUNG_SANCHO_PROUDFOOT,[N/A],young Sancho Proudfoot,7,205,40,0.78
EVENT,EVE_EXCAVATION,[N/A],excavation,8,251,10,0.52
LOCATION,LOC_LARGER_PANTRY,[N/A],larger pantry,10,269,31,0.52
PERSON,PER_GRANDSON,[N/A],grandson,1,0,8,0.61
PERSON,PER_SANCHO,[N/A],Sancho,10,279,15,0.88
LOCATION,LOC_WINDOW,[N/A],window,7,249,68,0.74
EVENT,EVE_PLOT,[N/A],plot,10,251,12,0.59
LOCATION,LOC_COUNTRY,[N/A],country,1,236,243,0.6
PERSON,PER_OLD_WIZARD,[N/A],old wizard,7,241,82,0.59
EVENT,EVE_EVENING,[N/A],evening,1,233,240,0.57
EVENT,EVE_THE_EVENING,[N/A],The evening,3,193,162,0.62
