Node_type,ID,Description,Label,Reference_Count,First_Apperance,Last_Apperance,Confidence,_context
PERSON,PER_OLD_WILL_WHITFOOT_THE_MAYOR,[N/A],Old Will Whitfoot The Mayor,69,"Book 1, Chapter 9","Book 6, Chapter 9",0.81,"everywhere, and if any of us small folk stand up for our rights, they drag him off to the Lockholes. They took old Flourdumpling, old Will Whitfoot the Mayor, first, and they've taken a lot more. Lately it's been getting worse. Often they beat 'em now.' 'Then why do you"
LOCATION,LOC_TOWN_HOLE,[N/A],Town Hole,11,"Book 1, Chapter 9","Book 3, Chapter 6",0.56,"Pippin, who were now feeling quite at home, and were chatting gaily about events in the Shire. Pippin roused a good deal of laughter with an account of the collapse of the roof of the Town Hole in Michel Delving: Will Whitfoot, the Mayor, and the fattest hobbit in the"
PERSON,PER_THE_OSTLER,[N/A],The Ostler,18,"Book 1, Chapter 9","Book 1, Chapter 9",0.65,"a few words of it are now, as a rule, remembered. There is an inn, a merry old inn beneath an old grey hill, And there they brew a beer so brown That the Man in the Moon himself came down one night to drink his fill. The ostler has"
PERSON,PER_THE_LITTLE_DOG,[N/A],The Little Dog,8,"Book 1, Chapter 9","Book 1, Chapter 9",0.85,"deedle-dum-diddle; the dog began to roar, The cow and the horses stood on their heads; The guests all bounded from their beds and danced upon the floor. With a ping and a pong the fiddle-strings broke! the cow jumped over the Moon, And the little dog laughed to see such"
PERSON,PER_OLD_BARLEY,[N/A],Old Barley,25,"Book 1, Chapter 9","Book 6, Chapter 7",0.7,"that his companions were hobbits, in spite of their strange gear, then he brightened and wished them welcome. 'Come in!' he said, unlocking the gate. 'We won't stay for news out here in the cold and the wet, a ruffianly evening. But old Barley will no doubt give you a"
PERSON,PER_BREE-LANDER,[N/A],Bree-Lander,9,"Book 1, Chapter 9","Book 1, Chapter 9",0.69,"Pippin and Sam, who found themselves left alone in a comer, and eyed darkly and doubtfully from a distance. It was plain that many people regarded them now as the companions of a travelling magician of unknown powers and purpose. But there was one swarthy Bree-lander, who stood looking at"
PERSON,PER_SQUINT-EYED_SOUTHERNER,[N/A],Squint-Eyed Southerner,31,"Book 1, Chapter 10","Book 3, Chapter 9",0.65,"regarded them now as the companions of a travelling magician of unknown powers and purpose. But there was one swarthy Bree-lander, who stood looking at them with a knowing and half-mocking expression that made them feel very uncomfortable. Presently he slipped out of the door, followed by the squint-eyed southerner:"
PERSON,PER_SQUINT-EYED_RASCAL,[N/A],Squint-Eyed Rascal,6,"Book 1, Chapter 10","Book 6, Chapter 8",0.63,"went back to the Field of Cormallen, and here was a squint-eyed rascal calling the Ring-bearer 'little cock-a-whoop'. He cast back his cloak, flashed out his sword, and the silver and sable of Gondor gleamed on him as he rode forward. 'I am a messenger of the King,' he said."
PERSON,PER_ROGUE,[N/A],Rogue,2,"Book 1, Chapter 10","Book 1, Chapter 10",0.62,"He suspected now that he had fallen in with a rascal, and he thought uncomfortably that he had brought only a little money with him. All of it would hardly satisfy a rogue, and he could not spare any of it. 'No more than you can afford,' answered Strider with"
LOCATION,LOC_DOWNLANDS,[N/A],Downlands,10,"Book 1, Chapter 10","Book 1, Chapter 10",0.64,"his voice, 'and though I cannot disappear, I have hunted many wild and wary things and I can usually avoid being seen, if I wish. Now, I was behind the hedge this evening on the Road west of Bree, when four hobbits came out of the Downlands. I need not"
PERSON,PER_POOR_BILL_THE_PONY,[N/A],Poor Bill The Pony,393,"Book 1, Chapter 10","Book 6, Chapter 9",0.88,"there was no hope that darkness and silence would keep their trail from discovery by the hunting packs. Round the fire they sat, and those that were not on guard dozed uneasily. Poor Bill the pony trembled and sweated where he stood. The howling of the wolves was now all"
ORGANIZATION,ORG_SOUTHERNERS,[N/A],Southerners,3,"Book 1, Chapter 10","Book 1, Chapter 10",0.57,"they slipped out together just after your ""accident"". Not all of those Southerners mean well; and as for Ferny, he would sell anything to anybody; or make mischief for amusement.' 'What will Ferny sell, and what has my accident got to do with him?' said Frodo, still determined not to"
LOCATION,LOC_SAM_FORD,[N/A],Sam Ford,8,"Book 1, Chapter 10","Book 1, Chapter 10",0.83,"know,' he said. 'I came west with him in the spring. I have often kept watch on the borders of the Shire in the last few years, when he was busy elsewhere. He seldom left it unguarded. We last met on the first of May: at Sam Ford down the"
LOCATION,LOC_ERIADOR,[N/A],Eriador,2,"Book 1, Chapter 10","Book 1, Chapter 10",0.53,"are desperate, not while all the long leagues of Eriador still lie before us. But their power is in terror, and already some in Bree are in their clutch. They will drive these wretches to some evil work: Ferny, and some of the strangers, and, maybe, the gatekeeper too. They"
PERSON,PER_HIS_ENEMIES,[N/A],His Enemies,7,"Book 1, Chapter 11","Book 5, Chapter 4",0.53,"retreating to the wall of the Pelennor, rallying his men to the Causeway Forts; but he was ten times outnumbered. 'If he wins back at all across the Pelennor, his enemies will be on his heels,' said the messenger. 'They have paid dear for the crossing but less dearly than"
EVENT,EVT_FELL_WINTER_OF_1311,[N/A],Fell Winter Of 1311,18,"Book 1, Chapter 11","Book 2, Chapter 3",0.63,"to Hobbiton! Folk might welcome it there.' Except on the high moors of the Northfarthing a heavy fall was rare in the Shire, and was regarded as a pleasant event and a chance for fun. No living hobbit (save Bilbo) could remember the Fell Winter of 1311, when the white"
ORGANIZATION,ORG_THE_BLACK_FIGURES,[N/A],The Black Figures,3,"Book 1, Chapter 11","Book 1, Chapter 11",0.5,"over. AWAKE! AWAKE! Far-away answering horns were heard. The alarm was spreading. The black figures fled from the house. One of them let fall a hobbit-cloak on the step, as he ran. In the lane the noise of hoofs broke out, and gathering to a gallop, went hammering away into"
ORGANIZATION,ORG_THE_LITTLE_PEOPLE,[N/A],The Little People,14,"Book 1, Chapter 11","Book 6, Chapter 9",0.75,gale to the North-gate. Let the little people blow! Sauron would deal with them later. Meanwhile they had another errand: they knew now that the house was empty and the Ring had gone. They rode down the guards at the gate and vanished from the Shire. In the early night
PERSON,PER_MASTER_FERNY,[N/A],Master Ferny,9,"Book 1, Chapter 11","Book 1, Chapter 11",0.75,"the beast bolt back to him with all our stuff, or help in tracking us, or something?' 'I wonder,' said Strider. 'But I cannot imagine any animal running home to him, once it got away. I fancy this is only an afterthought of kind Master Ferny's: just a way of"
PERSON,PER_LONGSHANKS,[N/A],Longshanks,10,"Book 1, Chapter 11","Book 1, Chapter 11",0.65,"goblin.' Over the hedge another man was staring boldly. He had heavy black brows, and dark scornful eyes; his large mouth curled in a sneer. He was smoking a short black pipe. As they approached he took it out of his mouth and spat. 'Morning, Longshanks!' he said. 'Off early?"
PERSON,PER_SAMMIE,[N/A],Sammie,10,"Book 1, Chapter 11","Book 1, Chapter 11",0.68,"Found some friends at last?' Strider nodded, but did not answer. 'Morning, my little friends!' he said to the others. 'I suppose you know who you've taken up with? That's Stick-at-naught Strider, that is! Though I've heard other names not so pretty. Watch out tonight! And you, Sammie, don't go"
ORGANIZATION,ORG_NEEKERBREEKERS,[N/A],Neekerbreekers,7,"Book 1, Chapter 11","Book 1, Chapter 11",0.63,"the sound of them were evil relatives of the cricket. There were thousands of them, and they squeaked all round, _neek-breek, breek-neek,_ unceasingly all the night, until the hobbits were nearly frantic. The next day, the fourth, was little better, and the night almost as comfortless. Though the Neekerbreekers (as"
EVENT,EVT_LAST_ALLIANCE,[N/A],Last Alliance,15,"Book 1, Chapter 11","Book 6, Chapter 1",0.54,"and nothing remains of it now but a tumbled ring, like a rough crown on the old hill's head. Yet once it was tall and fair. It is told that Elendil stood there watching for the coming of Gil-galad out of the West, in the days of the Last Alliance.'"
LOCATION,LOC_FORD_OF_BRUINEN,[N/A],Ford Of Bruinen,38,"Book 1, Chapter 11","Book 6, Chapter 7",0.55,"is a strange road, and folk are glad to reach their journey's end, whether the time is long or short. But I know how long it would take me on my own feet, with fair weather and no ill fortune twelve days from here to the Ford of Bruinen, where"
LOCATION,LOC_DELL,[N/A],Dell,5,"Book 1, Chapter 11","Book 3, Chapter 11",0.52,"in anxious thought. Each of the hobbits saw in his mind a vision of the cloaked and booted Riders. If the horsemen had already found the dell, the sooner Strider led them somewhere else the better. Sam viewed the hollow with great dislike, now that he had heard news of"
PERSON,PER_LÚTHIEN_TINÚVIEL,[N/A],Lúthien Tinúviel,185,"Book 1, Chapter 11","Book 2, Chapter 3",0.9,"'That is a song,' he said, 'in the mode that is called _ann-thennath_ among the Elves, but is hard to render in our Common Speech, and this is but a rough echo of it. It tells of the meeting of Beren son of Barahir and Lúthien Tinúviel. Beren was a"
LOCATION,LOC_ELVENHOME,[N/A],Elvenhome,48,"Book 1, Chapter 11","Book 6, Chapter 4",0.82,"saw in wander flowers of gold Upon her mantle and her sleeves, And her hair like shadow following. Enchantment healed his weary feet That over hills were doomed to roam; And forth he hastened, strong and fleet, And grasped at moonbeams glistening. Through woven woods in Elvenhome She tightly fled"
PERSON,PER_DIOR_THINGOL,[N/A],Dior Thingol,42,"Book 1, Chapter 11","Book 2, Chapter 2",0.86,"the lineage of the Elf-lords of old descended among Men. There live still those of whom Lúthien was the foremother, and it is said that her line shall never fail. Elrond of Rivendell is of that Kin. For of Beren and Lúthien was born Dior Thingol's heir; and of him"
LOCATION,LOC_ANGBAND,[N/A],Angband,20,"Book 1, Chapter 11","Book 1, Chapter 11",0.91,"among all the children of this world. As the stars above the mists of the Northern lands was her loveliness, and in her face was a shining light. In those days the Great Enemy, of whom Sauron of Mordor was but a servant, dwelt in Angband in the North, and"
PERSON,PER_NIGHTINGALE,[N/A],Nightingale,10,"Book 1, Chapter 11","Book 1, Chapter 11",0.52,"Barahir was slain, and Beren escaping through great peril came over the Mountains of Terror into the hidden Kingdom of Thingol in the forest of Neldoreth. There he beheld Lúthien singing and dancing in a glade beside the enchanted river Esgalduin; and he named her Tinúviel, that is Nightingale in"
LOCATION,LOC_NELDORETH,[N/A],Neldoreth,10,"Book 1, Chapter 11","Book 3, Chapter 4",0.53,"into the hidden Kingdom of Thingol in the forest of Neldoreth. There he beheld Lúthien singing and dancing in a glade beside the enchanted river Esgalduin; and he named her Tinúviel, that is Nightingale in the language of old. Many sorrows befell them afterwards, and they were parted long. Tinúviel"
PERSON,PER_EÄRENDIL,[N/A],Eärendil,68,"Book 1, Chapter 11","Book 2, Chapter 8",0.68,"of old descended among Men. There live still those of whom Lúthien was the foremother, and it is said that her line shall never fail. Elrond of Rivendell is of that Kin. For of Beren and Lúthien was born Dior Thingol's heir; and of him Elwing the White whom Eärendil"
PERSON,PER_SILMARIL,[N/A],Silmaril,39,"Book 1, Chapter 11","Book 4, Chapter 9",0.59,"that Kin. For of Beren and Lúthien was born Dior Thingol's heir; and of him Elwing the White whom Eärendil wedded, he that sailed his ship out of the mists of the world into the seas of heaven with the Silmaril upon his brow. And of Eärendil came the Kings"
LOCATION,LOC_WESTERNESSE,[N/A],Westernesse,30,"Book 1, Chapter 11","Book 6, Chapter 5",0.53,"and Lúthien was born Dior Thingol's heir; and of him Elwing the White whom Eärendil wedded, he that sailed his ship out of the mists of the world into the seas of heaven with the Silmaril upon his brow. And of Eärendil came the Kings of Númenor, that is Westernesse.'"
LOCATION,LOC_NÚMENOR,[N/A],Númenor,29,"Book 1, Chapter 11","Book 2, Chapter 10",0.62,"of Númenor, that is Westernesse.' As Strider was speaking they watched his strange eager face, dimly lit in the red glow of the wood-fire. His eyes shone, and his voice was rich and deep. Above him was a black starry sky. Suddenly a pale light appeared over the crown of"
LOCATION,LOC_ETTENMOORS,[N/A],Ettenmoors,36,"Book 1, Chapter 12","Book 2, Chapter 3",0.55,"distance they glimpsed yet another river in a stony valley half-veiled in mist. ""I am afraid we must go back to the Road here for a while,' said Strider. 'We have now come to the River Hoarwell, that the Elves call Mitheithel. It flows down out of the Ettenmoors, the"
LOCATION,LOC_TROLL-FELLS,[N/A],Troll-Fells,8,"Book 1, Chapter 12","Book 1, Chapter 12",0.52,"river in a stony valley half-veiled in mist. ""I am afraid we must go back to the Road here for a while,' said Strider. 'We have now come to the River Hoarwell, that the Elves call Mitheithel. It flows down out of the Ettenmoors, the troll-fells north of Rivendell, and"
LOCATION,LOC_LOUDWATER,[N/A],Loudwater,23,"Book 1, Chapter 12","Book 1, Chapter 12",0.61,"half-veiled in mist. ""I am afraid we must go back to the Road here for a while,' said Strider. 'We have now come to the River Hoarwell, that the Elves call Mitheithel. It flows down out of the Ettenmoors, the troll-fells north of Rivendell, and joins the Loudwater away in"
PERSON,PER_BRUINEN,[N/A],Bruinen,29,"Book 1, Chapter 12","Book 2, Chapter 3",0.54,"it finds the Sea. There is no way over it below its sources in the Ettenmoors, except by the Last Bridge on which the Road crosses.' 'What is that other river we can see far away there?' asked Merry. 'That is Loudwater, the Bruinen of Rivendell,' answered Strider. 'The Road"
LOCATION,LOC_ETTENDALES,[N/A],Ettendales,10,"Book 1, Chapter 12","Book 1, Chapter 12",0.51,"the lie of the land. When he returned he was not reassuring. 'We have come too far to the north,' he said, 'and we must find some way to turn back southwards again. If we keep on as we are going we shall get up into the Ettendales far north"
LOCATION,LOC_COMER,[N/A],Comer,3,"Book 1, Chapter 12","Book 1, Chapter 12",0.55,"path grew plainer and broader. Suddenly coming out of a belt of fir-trees it ran steeply down a slope, and turned sharply to the left round the comer of a rocky shoulder of the hill. When they came to the comer they looked round and saw that the path ran"
PERSON,PER_TROLL-LIKE,[N/A],Troll-Like,72,"Book 1, Chapter 12","Book 3, Chapter 4",0.91,"then two great arms lifted them up. They found that they were looking at a most extraordinary face. It belonged to a large Man-like, almost Troll-like, figure, at least fourteen foot high, very sturdy, with a tall head, and hardly any neck. Whether it was clad in stuff like green"
LOCATION,LOC_GRAVEYARD,[N/A],Graveyard,10,"Book 1, Chapter 12","Book 1, Chapter 12",0.6,"came Tom with his big boots on. Said he to Troll: 'Pray, what is yon? For it looks like the shin o' my nuncle Tim, As should be a-lyin' in graveyard. Caveyard! Paveyard! This many a year has Tim been gone, And I thought he were lyin' in graveyard.' 'My"
LOCATION,LOC_CAVEYARD,[N/A],Caveyard,7,"Book 1, Chapter 12","Book 1, Chapter 12",0.57,"For it looks like the shin o' my nuncle Tim, As should be a-lyin' in graveyard. Caveyard! Paveyard! This many a year has Tim been gone, And I thought he were lyin' in graveyard.' 'My lad,' said Troll, 'this bone I stole. But what be bones that lie in a"
PERSON,PER_TINBONE,[N/A],Tinbone,2,"Book 1, Chapter 12","Book 1, Chapter 12",0.56,"hole? Thy nuncle was dead as a lump o' lead, Afore I found his shinbone. Tinbone! Thinbone! He can spare a share for a poor old troll, For he don't need his shinbone.' Said Tom: 'I don't see why the likes o' thee Without axin' leave should go makin' free"
PERSON,PER_TROVER,[N/A],Trover,20,"Book 1, Chapter 12","Book 1, Chapter 12",0.79,"a share for a poor old troll, For he don't need his shinbone.' Said Tom: 'I don't see why the likes o' thee Without axin' leave should go makin' free With the shank or the shin o' my father's kin; So hand the old bone over! Rover! Trover! Though dead"
PERSON,PER_DONER,[N/A],Doner,8,"Book 1, Chapter 12","Book 1, Chapter 12",0.6,"toes could feel it. Tom's leg is game, since home he came, And his bootless foot is lasting lame; But Troll don't care, and he's still there With the bone he boned from its owner. Doner! Boner! Troll's old seat is still the same, And the bone he boned from"
PERSON,PER_BONER,[N/A],Boner,6,"Book 1, Chapter 12","Book 1, Chapter 12",0.53,"leg is game, since home he came, And his bootless foot is lasting lame; But Troll don't care, and he's still there With the bone he boned from its owner. Doner! Boner! Troll's old seat is still the same, And the bone he boned from its owner! 'Well, that's a"
PERSON,PER_GLORFINDEL,[N/A],Glorfindel,356,"Book 1, Chapter 12","Book 6, Chapter 5",0.91,"there seemed to be a note of haste or fear in his call, and they saw that he was now speaking quickly and urgently to Strider. Soon Strider beckoned to them, and the hobbits left the bushes and hurried down to the Road. 'This is Glorfindel, who dwells in the"
LOCATION,LOC_BARANDUIN,[N/A],Baranduin,4,"Book 1, Chapter 12","Book 1, Chapter 12",0.52,"cried Frodo joyfully. 'No. He had not when I departed; but that was nine days ago,' answered Glorfindel. 'Elrond received news that troubled him. Some of my kindred, journeying in your land beyond the Baranduin, learned that things were amiss, and sent messages as swiftly as they could. They said"
PERSON,PER_ASFALOTH,[N/A],Asfaloth,8,"Book 1, Chapter 12","Book 1, Chapter 12",0.78,"fear and hatred awoke in him. His hand left the bridle and gripped the hilt of his sword, and with a red flash he drew it. 'Ride on! Ride on!' cried Glorfindel, and then loud and clear he called to the horse in the elf-tongue: _noro lim, noro lim, Asfaloth!_"
LOCATION,LOC_NORO_LIM,[N/A],Noro Lim,2,"Book 1, Chapter 12","Book 1, Chapter 12",0.51,"the horse in the elf-tongue: _noro lim, noro lim, Asfaloth!_ At once the white horse sprang away and sped like the wind along the last lap of the Road. At the same moment the black horses leaped down the hill in pursuit, and from the Riders came a terrible cry,"
PERSON,PER_SHIRRIFF_SMALLBURROW,[N/A],Shirriff Smallburrow,312,"Book 1, Chapter 12","Book 6, Chapter 8",0.79,"we'll follow.' Sam had been looking the Shirriffs up and down and had spotted one that he knew. 'Hey, come here Robin Smallburrow!' he called. 'I want a word with you.' With a sheepish glance at his leader, who looked wrathful but did not dare to interfere, Shirriff Smallburrow fell"
PERSON,PER_MORGUL-KING-NOT,[N/A],Morgul-King-Not,94,"Book 2, Chapter 1","Book 6, Chapter 1",0.66,"the pressure was, he felt no inclination now to yield to it. He knew that the Ring would only betray him, and that he had not, even if he put it on, the power to face the Morgul-king-not yet. There was no longer any answer to that command in his"
ORGANIZATION,ORG_BREELANDERS,[N/A],Breelanders,7,"Book 2, Chapter 1","Book 2, Chapter 1",0.59,"that any of the Big People were like that. I thought, well, that they were just big, and rather stupid: kind and stupid like Butterbur; or stupid and wicked like Bill Ferny. But then we don't know much about Men in the Shire, except perhaps the Breelanders.' `You don't know"
ORGANIZATION,ORG_THE_WRAITHS,[N/A],The Wraiths,26,"Book 2, Chapter 1","Book 4, Chapter 2",0.62,"yes. Must take it. The Wraiths are searching. Must take it.' 'Not for Him! ' 'No, sweet one. See, my precious: if we has it, then we can escape, even from Him, eh? Perhaps we grows very strong, stronger than Wraiths. Lord SmÃ©agol? Gollum the Great? _The_ Gollum! Eat fish"
ORGANIZATION,ORG_THE_WARGS,[N/A],The Wargs,24,"Book 2, Chapter 1","Book 2, Chapter 4",0.81,"thought. They heard the wind hissing among the rocks and trees, and there was a howling and wailing round them in the empty spaces of the night. Suddenly Aragorn leapt to his feet. 'How the wind howls! ' he cried. 'It is howling with wolf-voices. The Wargs have come west"
ORGANIZATION,ORG_THE_ELVEN-WISE,[N/A],The Elven-Wise,10,"Book 2, Chapter 1","Book 2, Chapter 1",0.71,"safe?' `Yes, at present, until all else is conquered. The Elves may fear the Dark Lord, and they may fly before him, but never again will they listen to him or serve him. And here in Rivendell there live still some of his chief foes: the Elven-wise, lords of the"
ORGANIZATION,ORG_ONE_OF_THE_MIGHTY_OF_THE_FIRSTBORN,[N/A],One Of The Mighty Of The Firstborn,8,"Book 2, Chapter 1","Book 3, Chapter 2",0.59,"for a moment as he is upon the other side: one of the mighty of the Firstborn. He is an Elf-lord of a house of princes. Indeed there is a power in Rivendell to withstand the might of Mordor, for a while: and elsewhere other powers still dwell. There is"
PERSON,PER_HIS_UNCLE,[N/A],His Uncle,2,"Book 2, Chapter 1","Book 2, Chapter 1",0.59,"used to go tramping with his uncle in the Shire; but the eyes looked out at him thoughtfully. `Yes, you have seen a thing or two since you last peeped out of a looking-glass,' he said to his reflection. 'But now for a merry meeting!' He stretched out his arms"
PERSON,PER_UNDÓMIEL,[N/A],Undómiel,9,"Book 2, Chapter 1","Book 2, Chapter 1",0.77,"ornament save a girdle of leaves wrought in silver. So it was that Frodo saw her whom few mortals had yet seen; Arwen, daughter of Elrond, in whom it was said that the likeness of Lúthien had come on earth again; and she was called Undómiel, for she was the"
PERSON,PER_ELLADAN,[N/A],Elladan,120,"Book 2, Chapter 1","Book 6, Chapter 5",0.68,"Lúthien had come on earth again; and she was called Undómiel, for she was the Evenstar of her people. Long she had been in the land of her mother's kin, in Lórien beyond the mountains, and was but lately returned to Rivendell to her father's house. But her brothers, Elladan"
PERSON,PER_ELROHIR,[N/A],Elrohir,107,"Book 2, Chapter 1","Book 6, Chapter 5",0.76,"again; and she was called Undómiel, for she was the Evenstar of her people. Long she had been in the land of her mother's kin, in Lórien beyond the mountains, and was but lately returned to Rivendell to her father's house. But her brothers, Elladan and Elrohir, were out upon"
PERSON,PER_THORIN_OAKENSHIELD,[N/A],Thorin Oakenshield,50,"Book 2, Chapter 1","Book 2, Chapter 4",0.72,"at your service,' he said, and bowed still lower. 'Frodo Baggins at your service and your family's,' said Frodo correctly, rising in surprise and scattering his cushions. 'Am I right in guessing that you are _the_ Glóin, one of the twelve companions of the great Thorin Oakenshield?' `Quite right,' answered"
PERSON,PER_BEORN,[N/A],Beorn,20,"Book 2, Chapter 1","Book 2, Chapter 1",0.86,"they talked together, but Frodo listened more than he spoke; for the news of the Shire, apart from the Ring, seemed small and far-away and unimportant, while Glóin had much to tell of events in the northern regions of Wilderland. Frodo learned that Grimbeorn the Old, son of Beorn, was"
LOCATION,LOC_LNDEED,[N/A],Lndeed,4,"Book 2, Chapter 1","Book 4, Chapter 3",0.55,"Frodo learned that Grimbeorn the Old, son of Beorn, was now the lord of many sturdy men, and to their land between the Mountains and Mirkwood neither orc nor wolf dared to go. 'lndeed,' said Glóin, `if it were not for the Beornings, the passage from Dale to Rivendell would"
ORGANIZATION,ORG_BEORNINGS_OF_THE_WOOD,[N/A],Beornings Of The Wood,32,"Book 2, Chapter 1","Book 3, Chapter 2",0.77,"the people of Gondor, though they are not akin to them. It was in forgotten years long ago that Eorl the Young brought them out of the North, and their kinship is rather with the Bardings of Dale, and with the Beornings of the Wood, among whom may still be"
LOCATION,LOC_FORD_OF_CARROCK,[N/A],Ford Of Carrock,3,"Book 2, Chapter 1","Book 2, Chapter 1",0.69,"long ago have become impossible. They are valiant men and keep open the High Pass and the Ford of Carrock. But their tolls are high,' he added with a shake of his head; `and like Beorn of old they are not over fond of dwarves. Still, they are trusty, and"
ORGANIZATION,ORG_BARDINGS_OF_DALE,[N/A],Bardings Of Dale,13,"Book 2, Chapter 1","Book 3, Chapter 2",0.55,"long been the friends of the people of Gondor, though they are not akin to them. It was in forgotten years long ago that Eorl the Young brought them out of the North, and their kinship is rather with the Bardings of Dale, and with the Beornings of the Wood,"
PERSON,PER_DÁIN,[N/A],Dáin,79,"Book 2, Chapter 1","Book 2, Chapter 6",0.72,"polite a listener; for Frodo showed no sign of weariness and made no attempt to change the subject, though actually he soon got rather lost among the strange names of people and places that he had never heard of before. He was interested, however, to hear that Dáin was still"
PERSON,PER_DWALIN,[N/A],Dwalin,10,"Book 2, Chapter 1","Book 2, Chapter 1",0.91,"He was interested, however, to hear that Dáin was still King under the Mountain, and was now old (having passed his two hundred and fiftieth year), venerable, and fabulously rich. Of the ten companions who had survived the Battle of Five Armies seven were still with him: Dwalin, Glóin, Dori,"
PERSON,PER_DORI,[N/A],Dori,49,"Book 2, Chapter 1","Book 2, Chapter 5",0.9,"He was interested, however, to hear that Dáin was still King under the Mountain, and was now old (having passed his two hundred and fiftieth year), venerable, and fabulously rich. Of the ten companions who had survived the Battle of Five Armies seven were still with him: Dwalin, Glóin, Dori,"
PERSON,PER_BIFUR,[N/A],Bifur,10,"Book 2, Chapter 1","Book 2, Chapter 1",0.92,"hear that Dáin was still King under the Mountain, and was now old (having passed his two hundred and fiftieth year), venerable, and fabulously rich. Of the ten companions who had survived the Battle of Five Armies seven were still with him: Dwalin, Glóin, Dori, Nori, Bifur, Bofur, and Bombur."
PERSON,PER_BOFUR,[N/A],Bofur,10,"Book 2, Chapter 1","Book 2, Chapter 1",0.93,"hear that Dáin was still King under the Mountain, and was now old (having passed his two hundred and fiftieth year), venerable, and fabulously rich. Of the ten companions who had survived the Battle of Five Armies seven were still with him: Dwalin, Glóin, Dori, Nori, Bifur, Bofur, and Bombur."
PERSON,PER_BOMBUR,[N/A],Bombur,20,"Book 2, Chapter 1","Book 2, Chapter 1",0.94,"hear that Dáin was still King under the Mountain, and was now old (having passed his two hundred and fiftieth year), venerable, and fabulously rich. Of the ten companions who had survived the Battle of Five Armies seven were still with him: Dwalin, Glóin, Dori, Nori, Bifur, Bofur, and Bombur."
PERSON,PER_ÓIN,[N/A],Óin,30,"Book 2, Chapter 1","Book 2, Chapter 5",0.83,"with him: Dwalin, Glóin, Dori, Nori, Bifur, Bofur, and Bombur. Bombur was now so fat that he could not move himself from his couch to his chair at table, and it took six young dwarves to lift him. 'And what has become of Balin and Ori and Óin?' asked Frodo."
ORGANIZATION,ORG_HIS_PEOPLE,[N/A],His People,16,"Book 2, Chapter 1","Book 4, Chapter 2",0.61,"his people, telling Frodo about their great labours in Dale and under the Mountain. 'We have done well,' he said. `But in metalwork we cannot rival our fathers, many of whose. secrets are lost. We make good armour and keen swords, but we cannot again make mail or blade to"
PERSON,PER_DÚNADAN,[N/A],Dúnadan,36,"Book 2, Chapter 1","Book 2, Chapter 2",0.51,"over a line or two, and was thinking about them; but now I don't suppose I shall ever get them right. There will be such a deal of singing that the ideas will be driven clean out of my head. I shall have to get my friend the Dúnadan to"
PERSON,PER_SAM-WAS,[N/A],Sam-Was,10,"Book 2, Chapter 1","Book 2, Chapter 1",0.62,"the Shire!' Frodo hid the Ring away, and the shadow passed leaving hardly a shred of memory. The light and music of Rivendell was about him again. Bilbo smiled and laughed happily. Every item of news from the Shire that Frodo could tell-aided and corrected now and again by Sam-was"
PERSON,PER_NÚMENOREAN,[N/A],Númenorean,3,"Book 2, Chapter 1","Book 2, Chapter 1",0.57,"is often called that here. But I thought you knew enough Elvish at least to know _dún-udan_: Man of the West, Númenorean. But this is not the time for lessons!' He turned to Strider. `Where have you been, my friend? Why weren't you at the feast? The Lady Arwen was"
LOCATION,LOC_ARVERNIEN,[N/A],Arvernien,10,"Book 2, Chapter 1","Book 2, Chapter 1",0.79,"of sleep. There he wandered long in a dream of music that turned into running water, and then suddenly into a voice. It seemed to be the voice of Bilbo chanting verses. Faint at first and then clearer ran the words. Eärendil was a mariner that tarried in Arvernien; he"
LOCATION,LOC_FIMBRETHIL,[N/A],Fimbrethil,32,"Book 2, Chapter 1","Book 3, Chapter 4",0.87,"and maybe a journey to begin.' 'It is rather a strange and sad story,' he went on after a pause. 'When the world was young, and the woods were wide and wild, the Ents and the Entwives â€“ and there were Entmaidens then: ah! the loveliness of Fimbrethil, of Wandlimb"
LOCATION,LOC_NIGHT_OF_NAUGHT,[N/A],Night Of Naught,3,"Book 2, Chapter 1","Book 4, Chapter 9",0.54,"astray at last he came to Night of Naught, and passed, and never sight he saw of shining shore nor light he sought. The winds of wrath came driving him, and blindly in the foam he fled from west to east and errandless, unheralded he homeward sped. There flying Elwing"
LOCATION,LOC_TARMENEL,[N/A],Tarmenel,10,"Book 2, Chapter 1","Book 2, Chapter 1",0.72,"carcanet. The Silmaril she bound on him and crowned him with the living light and dauntless then with burning brow he turned his prow; and in the night from Otherworld beyond the Sea there strong and free a storm arose, a wind of power in Tarmenel; by paths that seldom"
LOCATION,LOC_EVERNIGHT,[N/A],Evernight,5,"Book 2, Chapter 1","Book 2, Chapter 1",0.6,"beyond the Sea there strong and free a storm arose, a wind of power in Tarmenel; by paths that seldom mortal goes his boat it bore with biting breath as might of death across the grey and long-forsaken seas distressed: from east to west he passed away. Through Evernight he"
LOCATION,LOC_VALINOR,[N/A],Valinor,19,"Book 2, Chapter 1","Book 6, Chapter 6",0.57,"shores that drowned before the Days began, until he heard on strands of pearl when ends the world the music long, where ever foaming billows roll the yellow gold and jewels wan. He saw the Mountain silent rise where twilight lies upon the knees of Valinor, and Eldamar beheld afar"
